               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078634,            0.028444,            0.048459,             0.15899,             0.27344,             0.13486,            0.044394,            0.033763,            0.012238,            0.027572,            0.070216,           0.0033094,           0.0033094
                   1,            0.057627,            0.023492,            0.038486,             0.54994,             0.27491,             0.18793,            0.059268,              0.0346,           0.0093666,            0.018859,             0.04015,           0.0065769,           0.0065769
                   2,            0.053124,             0.01902,            0.029254,             0.59699,            0.088636,             0.14418,            0.042659,            0.036884,           0.0095278,            0.020106,            0.010018,           0.0097785,           0.0097785
                   3,            0.051718,            0.017852,            0.022566,             0.53531,             0.37264,             0.35471,              0.1395,             0.03521,           0.0083431,            0.027563,            0.009703,            0.009703,            0.009703
                   4,            0.050139,            0.016155,            0.019403,             0.44137,             0.45487,             0.47211,              0.1618,            0.027228,            0.010446,            0.013205,            0.009703,            0.009703,            0.009703
                   5,            0.046444,            0.016216,            0.017008,             0.54005,              0.6885,             0.67878,             0.24945,            0.030194,            0.007666,           0.0091283,            0.009604,            0.009604,            0.009604
                   6,            0.044599,            0.015198,            0.015441,             0.58517,             0.68929,             0.72106,             0.25542,            0.025898,           0.0076739,           0.0057125,            0.009505,            0.009505,            0.009505
                   7,            0.045433,             0.01526,            0.016122,             0.37988,             0.49401,             0.39154,             0.13395,             0.03234,            0.010061,             0.01501,            0.009406,            0.009406,            0.009406
                   8,            0.042065,            0.014963,            0.014107,             0.63119,             0.67031,             0.71412,             0.32162,            0.023928,           0.0087873,           0.0076263,            0.009307,            0.009307,            0.009307
                   9,            0.041462,            0.015297,            0.014384,             0.70741,             0.80238,              0.7724,              0.3797,            0.022925,           0.0078962,           0.0068971,            0.009208,            0.009208,            0.009208
                  10,            0.041182,            0.014783,            0.013128,             0.82325,             0.79969,             0.84839,             0.42601,            0.022544,           0.0070151,           0.0059875,            0.009109,            0.009109,            0.009109
                  11,            0.037365,            0.014244,            0.010997,             0.85451,             0.80101,             0.84777,             0.43798,            0.020104,           0.0071774,           0.0057439,             0.00901,             0.00901,             0.00901
                  12,            0.039459,            0.014419,            0.011902,             0.85753,             0.84163,             0.86286,             0.44036,            0.020226,           0.0071943,           0.0049344,            0.008911,            0.008911,            0.008911
                  13,             0.03759,            0.014307,            0.010852,             0.89421,             0.82133,             0.90423,             0.46929,            0.020078,            0.007072,           0.0028101,            0.008812,            0.008812,            0.008812
                  14,            0.037379,            0.013525,            0.010427,             0.85568,             0.76638,             0.86915,             0.43497,            0.020567,           0.0069915,            0.005874,            0.008713,            0.008713,            0.008713
                  15,             0.03714,            0.013692,           0.0091672,             0.91577,             0.90521,             0.92231,               0.491,            0.019865,           0.0067125,           0.0044276,            0.008614,            0.008614,            0.008614
                  16,            0.035688,            0.013739,           0.0084531,             0.91453,              0.8977,             0.94184,             0.49606,            0.018843,            0.006838,           0.0028093,            0.008515,            0.008515,            0.008515
                  17,            0.036108,            0.013808,           0.0083788,             0.89705,             0.87958,              0.9108,             0.46736,             0.02071,           0.0072926,           0.0035989,            0.008416,            0.008416,            0.008416
                  18,            0.036359,             0.01331,           0.0084309,             0.93955,             0.86974,             0.93404,             0.52007,            0.017974,           0.0065864,           0.0032689,            0.008317,            0.008317,            0.008317
                  19,            0.033945,            0.013273,            0.007768,             0.90059,             0.83479,             0.91043,             0.47857,            0.020192,           0.0069183,           0.0045025,            0.008218,            0.008218,            0.008218
                  20,            0.035137,            0.012936,           0.0073563,             0.87878,             0.90513,             0.92518,             0.49496,            0.019528,           0.0067142,           0.0023415,            0.008119,            0.008119,            0.008119
                  21,            0.035727,            0.012856,           0.0077566,             0.86282,              0.8311,             0.86016,              0.4611,            0.019498,            0.006784,           0.0050162,             0.00802,             0.00802,             0.00802
                  22,            0.032889,            0.013621,           0.0080316,             0.87905,             0.84772,             0.88288,             0.48058,            0.019393,           0.0065486,            0.003257,            0.007921,            0.007921,            0.007921
                  23,            0.033531,            0.012585,           0.0066098,             0.91591,             0.89111,             0.93199,             0.49696,            0.019776,           0.0065792,           0.0024817,            0.007822,            0.007822,            0.007822
                  24,            0.033766,            0.012735,           0.0068099,             0.91359,             0.85634,             0.92721,             0.49685,            0.019595,            0.007109,           0.0036606,            0.007723,            0.007723,            0.007723
                  25,            0.033196,            0.012979,           0.0068212,             0.93576,             0.79885,             0.92513,             0.49132,            0.021553,           0.0074751,            0.006941,            0.007624,            0.007624,            0.007624
                  26,            0.031667,            0.012276,           0.0063308,             0.87758,             0.86963,             0.90378,             0.46846,             0.02014,           0.0068006,            0.003987,            0.007525,            0.007525,            0.007525
                  27,            0.032957,            0.012473,           0.0061008,             0.85681,             0.90733,              0.9142,             0.51285,            0.018581,           0.0066493,           0.0025674,            0.007426,            0.007426,            0.007426
                  28,            0.033415,             0.01281,           0.0063534,             0.83963,             0.88126,             0.90374,             0.51609,            0.018749,           0.0066102,           0.0040693,            0.007327,            0.007327,            0.007327
                  29,            0.030273,            0.011907,            0.005744,             0.87963,             0.73471,             0.89286,             0.51706,            0.018234,           0.0068002,           0.0081041,            0.007228,            0.007228,            0.007228
                  30,            0.031558,            0.012381,           0.0056649,             0.91382,             0.82905,             0.89824,             0.51245,             0.01835,           0.0065691,           0.0057931,            0.007129,            0.007129,            0.007129
                  31,            0.031875,            0.012355,           0.0055841,             0.88048,              0.8872,             0.87144,             0.47177,            0.019009,           0.0067733,           0.0036804,             0.00703,             0.00703,             0.00703
